Transaction Index,Amount
1,124.8357077
2,93.08678494
3,132.3844269
4,176.1514928
5,88.29233126
6,88.29315215
7,178.9606408
8,138.3717365
9,76.5262807
10,127.1280022
11,76.82911536
12,76.71351232
13,112.0981136
14,4.335987767
15,13.75410837
16,71.88562354
17,49.35844398
18,115.7123666
19,54.59879622
20,29.38481493
21,173.2824384
22,88.71118498
23,103.3764102
24,28.76259069
25,72.78086377
26,105.5461295
27,42.45032113
28,118.7849009
29,69.9680655
30,85.41531251
31,69.91466939
32,192.6139092
33,99.32513876
34,47.11445355
35,141.1272456
36,38.9578175
37,110.4431798
38,2.016493806
39,33.59069756
40,109.8430618
41,136.923329
42,108.5684141
43,94.21758588
44,84.94481522
45,26.07390048
46,64.00778958
47,76.96806145
48,152.8561113
49,117.1809145
50,1271.064185
51,116.2041985
52,80.74588598
53,66.15389998
54,130.5838144
55,151.5499761
56,146.564006
57,58.03912384
58,84.53938121
59,116.5631716
60,148.7772564
61,76.04128811
62,90.71705117
63,44.6832513
64,40.1896688
65,140.6262911
66,167.8120014
67,96.39949392
68,150.1766449
69,118.0818013
70,67.74401227
71,118.0697803
72,176.9018283
73,98.20869804
74,178.2321828
75,0
76,141.0951252
77,104.3523534
78,85.04963248
79,104.5880388
80,0.62155427
81,89.01640561
82,117.8556286
83,173.8947022
84,74.08648909
85,59.57531986
86,74.91214782
87,145.7701059
88,116.4375555
89,73.51198981
90,125.6633717
91,104.8538775
92,148.4322495
93,64.89734531
94,83.61689267
95,80.39459234
96,26.82425259
97,114.8060139
98,113.0527636
99,100.2556728
100,88.27064333
101,29.2314629
102,78.96773386
103,82.86427417
104,59.88613654
105,91.93571442
106,120.2025428
107,194.3092951
108,108.7288906
109,112.8775195
110,96.27770421
111,4.061439235
112,98.67430623
113,103.0115105
114,223.1621056
115,90.38195176
116,115.0773671
117,98.26441151
118,41.56609812
119,157.1411407
120,137.5966516
121,139.5515974
122,54.53062726
123,170.1397155
124,29.90744686
125,129.3428547
126,209.5227813
127,50.47318374
128,71.68511352
129,104.9825683
130,74.82621729
131,22.46682845
132,103.4281487
133,46.88481431
134,123.6796215
135,54.02878829
136,177.4967203
137,60.83733538
138,83.89692419
139,140.6758609
140,38.45678418
141,111.3729967
142,165.3571377
143,19.62583827
144,109.2316929
145,112.9941397
146,139.0911436
147,38.15246446
148,33.97716935
149,126.0970783
150,114.8492337
151,112.5246425
152,117.3224105
153,65.99876392
154,111.6126849
155,114.6536237
156,64.2824291
157,193.2887256
158,123.691646
159,40.43482514
160,132.8276804
161,51.26591649
162,139.3542302
163,157.929779
164,58.96588408
165,148.1688065
166,120.6390463
167,141.103008
168,194.8396491
169,87.7305942
170,62.31319178
171,55.52427852
172,59.20948575
173,96.14491453
174,117.0575987
175,113.83454
176,141.3591625
177,100.6500946
178,172.6767039
179,86.76715834
180,236.0084583
181,131.2833674
182,57.14212218
183,46.4553751
184,124.1236208
185,88.82686073
186,135.7000247
187,123.6618812
188,96.35855437
189,57.6603141
190,24.25763877
191,77.6742524
192,142.8199397
193,110.7046872
194,37.71306106
195,108.6590463
196,119.265869
197,55.80712819
198,107.6862553
199,102.9104359
200,42.85148511
201,117.889368
202,128.0392263
203,154.1525622
204,152.6901026
205,31.1165316
206,53.108748
207,125.7517634
208,125.6892975
209,125.7523843
210,292.6365745
211,128.5445255
212,156.778282
213,147.7000882
214,132.5695626
215,84.23653777
216,137.948461
217,61.35873927
218,88.15906966
219,75.73182261
220,104.093707
221,215.7329283
222,6.63674037
223,134.3130095
224,19.36420644
225,76.40340671
226,154.4475298
227,103.214001
228,46.1127611
229,64.23481454
230,133.9798874
231,63.48166841
232,110.8229295
233,102.278592
234,67.41998262
235,207.1972045
236,131.6959511
237,0
238,109.3227157
239,1945.662773
240,142.6216667
241,60.37396308
242,94.26317793
243,125.2493639
244,143.2877597
245,39.98517965
246,83.27493821
247,76.25273444
248,67.33353837
249,1644.250138
250,120.2490855
251,36.95580228
252,145.8930974
253,206.1078099
254,151.623263
255,24.0315017
256,75.78829636
257,163.3455575
258,64.61652672
259,122.1909714
260,138.7317027
261,53.65347642
262,97.0237322
263,0
264,48.78061793
265,87.37159243
266,37.6108409
267,181.6205652
268,28.4929311
269,77.99777567
270,106.5370289
271,172.0636645
272,28.20689244
273,158.1581876
274,100.5116531
275,50.92456745
276,123.1051737
277,109.9529848
278,69.98915614
279,103.4901042
280,80.73432016
281,105.6758673
282,133.1065337
283,179.3008408
284,38.10922506
285,206.6516687
286,2.395610024
287,92.41074525
288,129.4158603
289,114.0495934
290,68.86502401
291,89.59388748
292,75.34995327
293,70.53176215
294,142.4801049
295,117.8507743
296,65.35452024
297,144.9799938
298,115.364976
299,140.6431059
300,131.4814421
301,58.55024945
302,71.99094799
303,137.3646803
304,130.5185133
305,98.9549203
306,105.8663692
307,163.8832448
308,70.42143056
309,127.3548691
310,89.89036738
311,89.11593984
312,154.9388426
313,141.2708174
314,140.6754818
315,165.2739404
316,101.0501921
317,134.0976486
318,84.48666217
319,116.2083176
320,93.49284728
321,104.8497982
322,129.7578513
323,59.08896584
324,204.6193638
325,49.69913093
326,39.29056936
327,157.9055437
328,139.5831347
329,131.2059909
330,131.4172755
331,99.38766136
332,55.13728143
333,103.7902279
334,66.14191442
335,148.7559867
336,92.64713092
337,58.72514016
338,83.93070792
339,120.6465727
340,71.81377236
341,58.88898022
342,112.1843606
343,112.2483286
344,74.65284123
345,76.44808472
346,111.6024969
347,27.59578293
348,29.62681128
349,64.07778894
350,89.32764241
351,115.5453783
352,173.7678108
353,142.8829812
354,92.0030735
355,99.0491896
356,49.87353177
357,99.0743432
358,85.56706805
359,116.135928
360,58.63845282
361,125.9673257
362,176.6369457
363,94.56199258
364,120.0855861
365,134.5071996
366,79.93897641
367,111.2046241
368,100.62962
369,104.8838049
370,61.34951081
371,101.2255087
372,124.8999146
373,172.5571804
374,147.9635413
375,207.6591229
376,61.63262186
377,143.6160318
378,109.1671003
379,209.4901467
380,59.58508573
381,58.01390789
382,70.03036773
383,0
384,73.71224892
385,62.04336692
386,107.5196893
387,117.0877988
388,193.808542
389,147.5211919
390,71.15481722
391,55.07926643
392,124.5959586
393,33.98833965
394,191.5729383
395,158.972006
396,76.54121739
397,14.34327355
398,167.6936187
399,94.27300774
400,161.8908156
401,20.27861706
402,70.03124885
403,100.262185
404,102.3490297
405,77.49672643
406,131.1424966
407,46.61897853
408,92.88102575
409,106.0147816
410,125.7219417
411,135.5807439
412,43.76789541
413,23.29429146
414,163.8838411
415,1150.03343
416,62.57567317
417,177.5575988
418,105.7837317
419,158.9648592
420,103.3759241
421,203.0373962
422,187.7670421
423,87.55179258
424,148.5785475
425,132.2687975
426,168.4315779
427,51.75382697
428,134.302573
429,152.9212243
430,12.06302568
431,40.83707437
432,0
433,86.52965828
434,135.8771128
435,175.1178526
436,103.704739
437,181.4307773
438,30.99492709
439,14.83087803
440,97.22261506
441,119.2032724
442,98.3652626
443,0
444,95.54399802
445,34.77652497
446,133.4836274
447,118.3299123
448,53.00601068
449,74.30665413
450,47.03932391
451,96.86604514
452,147.757116
453,50.71369768
454,125.2023258
455,73.48711908
456,60.35635839
457,94.648482
458,48.23788388
459,72.31753473
460,40.10610537
461,198.2362566
462,101.7631776
463,65.0137246
464,110.6989955
465,94.38359752
466,88.95152002
467,130.708335
468,137.8753855
469,73.47494262
470,71.20908797
471,86.24741514
472,0
473,24.24044689
474,168.3437134
475,182.2483857
476,87.54819802
477,128.8278482
478,115.5625077
479,253.9440404
480,155.9787456
481,93.60412043
482,52.22297797
483,19.67768399
484,110.1731818
485,62.18246274
486,28.88731452
487,67.67135579
488,45.92259982
489,184.3570818
490,144.0819878
491,99.60136793
492,173.9972069
493,103.8684154
494,56.93578993
495,176.1562039
496,126.9455022
497,48.13769228
498,90.4830661
499,56.21908733
500,30.86001345
501,146.3088774
502,195.470832
503,30.07162131
504,128.1484618
505,67.46787154
506,75.64373081
507,70.38030379
508,56.80046152
509,102.4260814
510,58.45249418
511,113.5228413
512,97.48809453
513,88.05259766
514,54.6218169
515,1045.02085
516,137.7695613
517,125.0458594
518,51.12223776
519,104.9666153
520,137.5693562
521,16.52973594
522,127.1680096
523,66.86881205
524,128.5299334
525,61.83704217
526,9.755894967
527,18.62287811
528,102.4042473
529,112.9861251
530,54.78416874
531,131.9296229
532,16.92399689
533,96.69601007
534,39.44919001
535,67.40819461
536,102.3699336
537,56.97933174
538,80.77222279
539,150.3146405
540,71.15540652
541,141.7846056
542,43.51465727
543,126.4902089
544,172.078431
545,0
546,60.15523723
547,128.8536064
548,89.8477307
549,118.5572937
550,69.80074066
551,104.3294894
552,92.21613823
553,158.3891031
554,112.7210422
555,116.8801331
556,79.40615169
557,75.6196888
558,78.37209061
559,119.7226071
560,78.95077596
561,114.4887428
562,203.7700399
563,143.5562352
564,83.69882339
565,160.0606961
566,79.59623135
567,0
568,49.59568445
569,6.460403949
570,982.3823963
571,100.920919
572,183.8218656
573,116.3463687
574,89.04497356
575,141.4702791
576,0
577,111.7807279
578,138.5432597
579,26.07068771
580,157.1877022
581,116.9248204
582,79.2356043
583,131.6390933
584,213.5346429
585,109.0933128
586,112.4110293
587,77.03195502
588,57.50778153
589,141.5167908
590,57.1958087
591,103.5783119
592,76.11712766
593,123.9489913
594,116.6831053
595,151.8769972
596,74.49918006
597,86.50625324
598,51.06181421
599,77.785337
600,118.8650247
601,137.8494308
602,53.89173379
603,143.480296
604,167.7818929
605,120.6717452
606,193.8397906
607,61.31054004
608,37.76726483
609,11.06398755
610,174.8022156
611,132.7182828
612,97.22076645
613,113.9984313
614,43.72554764
615,222.287599
616,106.4610591
617,105.4697397
618,136.2883312
619,124.0504616
620,111.1942012
621,60.47627723
622,123.5734179
623,194.1012248
624,167.2710023
625,179.6593313
626,74.43921618
627,50.51975899
628,93.710654
629,102.7862456
630,154.7095759
631,15.37676851
632,176.477516
633,92.09960507
634,78.6559465
635,49.39478124
636,17.25716641
637,141.1585292
638,103.6658984
639,35.50195501
640,35.2460614
641,83.21076504
642,183.4510763
643,87.02043243
644,24.84285234
645,87.7128468
646,86.36382151
647,0
648,97.28525667
649,88.45327349
650,134.8103182
651,192.4478047
652,156.3282515
653,86.55556547
654,44.67370456
655,228.6679902
656,102.9609217
657,100.6964646
658,98.79374564
659,109.904238
660,92.7819794
661,71.31689966
662,72.65705294
663,98.36233649
664,72.82876144
665,64.35771087
666,105.3215114
667,87.25113913
668,175.1996494
669,0
670,154.5753426
671,162.3042596
672,0
673,82.8656203
674,81.4279567
675,29.62441526
676,61.10916562
677,44.47120773
678,187.6135222
679,146.7839197
680,163.5777547
681,136.0836032
682,43.54741144
683,73.77398669
684,124.4687281
685,38.89360956
686,135.6499215
687,87.98373009
688,81.25895962
689,135.5479984
690,122.2131656
691,81.95169171
692,157.9664902
693,45.94683362
694,130.7967803
695,129.6550629
696,84.52267803
697,116.3066511
698,37.44432118
699,146.201351
700,90.75489318
701,73.86384897
702,152.4504613
703,64.78281547
704,29.57693518
705,22.16854132
706,130.3004976
707,35.97853238
708,187.7397091
709,0
710,184.8228184
711,110.5508734
712,95.16434441
713,72.75404566
714,119.9568057
715,98.11826488
716,155.1650941
717,105.7113824
718,107.5150881
719,81.81938939
720,97.15271881
721,115.3900884
722,14.49158037
723,32.59072889
724,642.1563374
725,108.5432719
726,90.80083318
727,100.9216967
728,117.3790853
729,73.01201598
730,61.08476373
731,109.7922628
732,51.08136112
733,120.4126378
734,14.87081979
735,151.4577819
736,123.6298741
737,112.8014867
738,149.1345492
739,183.2737222
740,150.7185033
741,7.956288433
742,36.02115166
743,68.75907112
744,101.3045525
745,125.882951
746,63.71280934
747,109.3383382
748,62.23085338
749,69.42410985
750,29.66694516
751,53.83833769
752,32.41576972
753,51.20633735
754,152.6820898
755,52.53005556
756,231.6191032
757,124.665895
758,109.2418062
759,57.08211099
760,135.015494
761,71.21810869
762,106.1004907
763,228.0042269
764,95.19700501
765,157.4636663
766,64.84117874
767,98.25057548
768,188.5400318
769,68.65164711
770,190.6224279
771,135.3875968
772,71.87666121
773,131.620387
774,148.6277225
775,131.0904981
776,21.48876401
777,63.64314121
778,87.62406822
779,96.27832854
780,131.0336049
781,108.88505
782,33.23278206
783,119.0098926
784,130.5292873
785,127.9895224
786,154.0390363
787,141.6961077
788,122.959004
789,96.49171443
790,16.95195332
791,121.480911
792,110.3843844
793,113.5789419
794,36.16257121
795,45.94717298
796,152.6576427
797,98.02224231
798,134.0750349
799,101.4159188
800,101.487807
801,146.9141903
802,74.19776359
803,104.8060388
804,76.88623556
805,78.27518863
806,84.54139383
807,111.1066886
808,76.06256892
809,162.7878063
810,55.26963489
811,90.65641779
812,78.01344709
813,172.3488942
814,109.8277388
815,151.592227
816,25.72198135
817,113.3525133
818,144.4815398
819,104.1141995
820,153.2740188
821,74.13557749
822,170.467372
823,214.9449062
824,81.85807198
825,77.72487393
826,172.6692239
827,178.9786073
828,73.85699864
829,78.99065915
830,85.91076956
831,32.77747445
832,54.06740268
833,49.79296166
834,61.61012174
835,98.26575563
836,111.7107366
837,177.5250246
838,50.08229796
839,149.2161199
840,89.30055779
841,97.52681452
842,133.7409746
843,43.86389892
844,119.1204873
845,108.3226104
846,124.6225632
847,114.4584322
848,222.765007
849,68.11300079
850,73.45015225
851,68.84297368
852,72.22614404
853,68.13064363
854,159.4508266
855,171.0252124
856,71.46268531
857,58.38222134
858,123.5707778
859,72.38884779
860,131.6465909
861,110.146151
862,24.21279425
863,177.3752601
864,189.7938837
865,69.36056548
866,80.614922
867,114.2932695
868,116.7228395
869,132.9272136
870,200.5102269
871,91.15263863
872,60.08513777
873,31.0340386
874,63.453498
875,98.34365136
876,189.7278932
877,74.11943505
878,111.1893976
879,99.1788552
880,159.4196637
881,226.3466213
882,73.45656135
883,75.52802787
884,152.2080439
